代碼,類型,貨號,名稱,已發佈,是特色商品？,目錄的可見度,簡短內容說明,描述,折扣價開始日期,折扣價結束日期,稅金狀態,稅率類別,有庫存？,庫存,低庫存量,允許無庫存下單嗎？,單獨銷售?,"重量 (公斤)","長 (公分)","寬 (公分)","高 (公分)",允許客戶評論嗎？,購買備註,特價,原價,分類,標籤,運送類別,圖片,下載限制,下載點過期天數,上層,組合商品,追加銷售,交叉銷售,外部網址,按鈕文字,位置,"屬性 1 名稱","屬性 1 值","屬性 1 可見","屬性 1 全域","屬性 2 名稱","屬性 2 值","屬性 2 可見","屬性 2 全域","Meta: model","Meta: caryear-start","Meta: caryear-end","Meta: size","Meta: dpi","Meta: oem-no","Meta: gasket-no","Meta: drain-plug","Meta: product-id-old","Meta: has_been_duplicated"
223839,simple,,BL-T101 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6904_img_1.jpg,,,,,,,,,0,VEHICLE,BLUEBIRD BUS,1,1,MANUFACTURER,BLUEBIRD BUS,1,1,,,,3-1/2x26-5/8(88.6x675.5),,,UF-309,,6904,
223840,simple,,BL-T102 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6905_img_1.jpg,,,,,,,,,0,VEHICLE,BLUEBIRD BUS,1,1,MANUFACTURER,BLUEBIRD BUS,1,1,,,,3-1/2x26-5/8(88.6x675.5),,,UF-309,QP-3002,6905,
223841,simple,,BL-T103 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6906_img_1.jpg,,,,,,,,,0,VEHICLE,BLUEBIRD BUS,1,1,MANUFACTURER,BLUEBIRD BUS,1,1,,,,3-1/2x26-5/8(88.6x675.5),,,UF-309,QP-3002,6906,
223842,simple,,CA-T101 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6909_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X20-3/4
(124X527.5)",,,CA-T302,,6909,
223843,simple,,CA-T102 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6910_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X20-3/4
(124X527.5)",,,CA-T302,QP-3002,6910,
223844,simple,,CA-T103 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6911_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X20-3/4
(124X527.5)",,,CA-T302,,6911,
223845,simple,,CA-T104 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6912_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X20-3/4
(124X527.5)",,,CA-T302,,6912,
223846,simple,,CA-T105 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6913_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X20-3/4
(124X527.5)",,,CA-T302,,6913,
223847,simple,,CA-T106 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6914_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X20-3/4
(124X527.5)",,,CA-T302,,6914,
223848,simple,,CA-T107 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6915_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X20-3/4
(124X527.5)",,,CA-T302,,6915,
223849,simple,,CA-T108 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6916_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X20-3/4
(124X527.5)",,,CA-T302,,6916,
223850,simple,,CA-T109 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6917_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X18-1/8
(124X459.7)",,,CA-T309,,6917,
223851,simple,,CA-T110 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6918_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X18-1/8
(124X459.7)",,,CA-T309,,6918,
223852,simple,,CA-T111 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6919_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X18-1/8
(124X459.7)",,,CA-T309,,6919,
223853,simple,,CA-T112 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6920_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X18-1/8
(124X459.7)",,,CA-T309,,6920,
223854,simple,,CA-T113 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6921_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X18-1/8
(124X459.7)",,,CA-T309,,6921,
223855,simple,,CA-T114 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6922_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,"4-7/8X18-1/8
(124X459.7)",,,CA-T309,,6922,
223856,simple,,CA-T115 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6923_img_1.jpg,,,,,,,,,0,VEHICLE,CAT CASE &INTERNATIONAL,1,1,MANUFACTURER,CAT CASE &INTERNATIONAL,1,1,,,,4-7/8X28-13/16(124X731.5),,,,QP-3002,6923,
223857,simple,,DAF-T103 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6931_img_1.jpg,,,,,,,,,0,VEHICLE,F95,1,1,MANUFACTURER,DAF,1,1,,1987,1993,"2-7/8X30-7/16
(71.5X772.4)",,"393,433,393,434",IV-T301,QP-3034,6931,
223858,simple,,FE-T101 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6950_img_1.jpg,,,,,,,,,0,VEHICLE,FEDEX TRUCKS,1,1,MANUFACTURER,FEDEX TRUCKS,1,1,,,,3-1/2X26-5/8(88.6X675.5),,,UF-309,,6950,
223859,simple,,"FE-T102,FE-T102Y,FO-T120,FO-T120Y - Copy",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/6951_img_1.jpg,,,,,,,,,0,VEHICLE,FEDEX TRUCKS,1,1,MANUFACTURER,FEDEX TRUCKS,1,1,,,,3-1/2X26-5/8(88.3X676.2),,,UF-309,QP-3019,6951,
223860,simple,,FR-T101 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7052_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-7/16X28-13/16(88X732),5048,"BHTD5292,BHTD74675,800016BT,800016ST,A0517636000,0517261000,0517261001,2AH00096,3AH00285SP",FR-T301,,7052,
223861,simple,,FR-T102 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7053_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-7/16X28-13/16(88X732),5048,"BHTD5292,BHTD74675,800016BT,800016ST,A0517636000,0517261000,0517261001,2AH00096,3AH00285SP",FR-T301,BM-3001,7053,
223862,simple,,FR-T103 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7054_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-7/16X32-7/8(88X835),,,FR-T302,BM-3001,7054,
223863,simple,,FR-T104 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7055_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-7/16X32-7/8(88X835),,558059A,FR-T302,BM-3001,7055,
223864,simple,,FR-T105 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7056_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-1/16X25-1/2(77X647.7),,,FR-T303,,7056,
223865,simple,,FR-T106 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7057_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-1/16X25-1/2(77X647.7),,,FR-T303,BM-3001X2,7057,
223866,simple,,"FR-T107,T-107Y - Copy",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7058_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-1/16X25-1/2(77X647),,,FR-T303,BM-3001,7058,
223867,simple,,FR-T108 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7059_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-1/2X27-1/16(89.5X687.3),,,FR-T304,GM-3001,7059,
223868,simple,,FR-T109 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7060_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-7/16X32-7/8(88X835),,,FR-T302,BM-3001,7060,
223869,simple,,FR-T110 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7061_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-7/16X32-7/8(88X835),,,FR-T302,GM-3001,7061,
